id,filename,speaker,tags,transcription
132,BOUT2GETREAL.wav,doug,"real, real in here",its bout to get real in here
133,BOWTIE.mp3,tim,bowtie,why the bowtie?
134,BOYCANAL.mp3,tim,boy canal,keep that boy canal nice
135,BOYDUNGEON-LARRY.mp3,larry,"boy dungeon, larry",your boy dungeon 
136,BOYPIG.wav,cat,"boy pig, cat",I like when you call me a boy pig
137,BOYWHORE.mp3,tim,boy whore,"yea, Im a boy whore"
138,BOYCOTTKMOV.mp3,caller adam,"kmov, caller adam, local news","boycott KMOV, its a piece of crap station"
139,BREAKINGITDOWN.mp3,caller ellen,"breaking it down, ellen",well you guys just keep breaking it down
140,BREWERSSERIES.mp3,charlie,"brewers, charlie, baseball series, cardinals, sfw","Ill tell ya what, Im excited for this brewers series"
141,BROADBANGME.mp3,tim,"broad, bang",just another broad who wants to bang me
142,BROKEROUTTIMEBITCH.mp3,tim,"broker, time, am sports talk radio",I broker out the time bitch
143,BRUCEPEARL.wav,rondo,"bruce pearl, tennesee, rondo",free bruce pearl
144,BUFFERING.wav,plowboy,"buffering, plowboy",oh its buffering so bad right now
145,BUILTABRIDGEANDGOTOVERIT.mp3,larry,"bridge, get over it, larry","I built a bridge, and got over it"
146,BULLANDAPACHESHARE.mp3,bull,"bull, apache, mistress amy, share",mistriss amy is shared by me and the apache
147,BULLISNOTAWHORE.mp3,bull,"bull, whore",im not the big whore that everybody makes me out to be
148,BULLNEVERGIVESUP.mp3,bull,"bull, give up",a bull never gives up
149,BULLPOTENTIAL.mp3,bull,"bull, potential",he has the potential to be a great bull
150,BULLSAREDOMS.mp3,bull,"bull, sub, dom, bdsm","bulls arent subs, were doms"
151,BUNCHOFIDIOTS.wav,unknown man,idiots,buncha idiots out here
152,BURLEYGENTLEMAN.mp3,doug,"gentleman, bear, burley",would you consider yourself a burley gentleman?
153,BURNINHELL.wav,willy,"willy, burn in hell","youre going to burn in hell, pal"
154,BURN.wav,tim,burn,burn!
155,BUSINESSWILLTREBBLE.wav,cat,"treble, business, jhe",their business would treble
156,BUTC'MON.wav,unknown man,cmon,"but, uh, cmon"
157,BUSINESSMENSPECIALS.mp3,doug,business mans special,business mans special
158,BUTTPLUG-R2D2.mp3,tim,"r2d2, buttplug",I have an r2d2 that I use as a buttplug
159,BamGerbil.mp3,steve harvey,"gerbil, steve harvey","bam, gerbil!"
160,C'MONCAT.wav,rudy,rudy,cmon cat
161,C'MON!!.wav,charlie,"cmon, charlie, sfw",cmon!
162,CALMAY(STAN).mp3,calmay,"stan musial, sick, matt carpenter, lackey, calmay","matt did you know in the top of the 4th, don mattingly said that it makes him think that stan musial is in that body and running around here"
163,CALMAYLAUGH.mp3,calmay,"laugh, calmay",hahaha
164,CALMAY-BALLINHOOP.mp3,calmay,"hoops, calmay, basketball",coach what goes through your mind when you see the ball actually go through the hoop there
165,CALMAY-WISCONSINPLAYER.mp3,calmay,"calmay, wisconsin, coach",coach how cool was it that it was a wisconson player that sank the winning shot?  
166,CALLIN(CAT).mp3,cat,"call in big man, call-in",call in big man!
167,CALLIN(MIX).wav,doug,call in big man,doug: call in    -    danny mac: big man!
168,CALLINBEFOREBED.mp3,larry,"call in, bed, larry",Ill call in before I go to bed tonight
169,CALLINDUDE.wav,plowboy,"call in, dude, plowboy","why dont you call in, dude"
170,CALLINPRINCESS.wav,willy,"princess, call in, willy",why dont you call in princess
171,CALLYOUDADDY.mp3,unknown woman,daddy,I like calling you daddy!
172,CALLERADAM-FANPAGE.mp3,caller adam,"fan page, finpin, facebook",tim did you see what happened on the fan page last night?
173,CALLERJORDANASMOKESHOW.mp3,tim,"caller jordan, smokeshow","caller jordan is a smokeshow, doug needs to get with that"
174,CANIBESUSPENDED.mp3,gabe,"suspended, gabe, suspension",can I be suspended for like 20 mins?
175,CANICONTINUE-LARRY.mp3,larry,"continue, larry, interrupt ",can I continue doug?
176,CANNOTVALIDATE.mp3,tim,validate,"we wanna make it clear, we cannot validate"
177,CANTFIGHTKARMA.wav,Rich from Maryland Heights,"rich, maryland heights, karma","you cant fight karma, karma will always win"
178,CARBONFOOTPRINT.mp3,charlie,"footprint, carbon, polution",reduce your carbon footprint
179,CARDINALSLOST-MIKELEE.mp3,mike lee,"cardinals lost, mike lee","cardinals lost again, huh?"
180,CARDINALSOFFENSE-SLAPDICKAROUND.mp3,tim,"slap dick, cardinals offense",the offense continues to just slap dick around
181,CARDINALSSTINK.mp3,mike lee,"mike lee, cardinals stink",cardinals stink!
182,CARDINALSWON-MIKELEE.mp3,mike lee,"mike lee, cardinals won",cardinals won huh?
183,CARDSARECOMING.mp3,larry,"larry, cardinals are coming, tra la","by the way, the cardinals are coming, tra la tra la"
184,CARDSFANSBITCHY.mp3,doug,"cardinal fans, bfib, bitchy, racist",cardinal fans are bitchy and racist
185,CARE.wav,frank,"do you care, frank",do you care?
186,CARLOSMARTINEXTATS-TIMBERFAKE.mp3,timberfake,"carlos martinez, timberfake, tattoo, momma","I get tattoos of carlos martinez, on my mama"
187,CARLOSMARTINEZ.mp3,tim,carlos martinez,carlos martinez! Another great start!
188,CARRYON.wav,unknown man,carry on,carry on
189,CASECLOSED.wav,plowboy,"plowboy, case closed",case closed
190,CASSIDEY.wav,cassidey,"cassidey, porn, stag",yeah!
191,CATANDDOUGSEX-FRANK.mp3,frank,frank,"jim the cat hayes, having action with doug vaughn"
192,CATBULLCRAP.mp3,cat,"bullcrap, cat","boy, Im tired of hearing your bullcrap"
193,CATFANS-STRAUSS.mp3,tim and strauss,"cats fans, strauss",tim: and what are the cats fans?  Strauss: delusional for sure
194,CATISELITE.mp3,charlie,"charlie, elite, status, cat",the cat though has really reached elite level status
195,CATSOUND.wav,tim,"cat noise, purr",*kitten purr**
196,CATWEARSPRADA.wav,tim,"cat, prada, clothes",the cat wears prada!
197,CAT'SPOEM.mp3,cat,"poem, cat, freedom","birds, tree life, fly fly fly, picking pecking poking, freedom"
198,CATSACOOLCAT-TIMBERFAKE.mp3,timberfake,"cat, cool, timberfake",the cats a cool cat!
199,CATSFATALBERTIMPRESSION.mp3,cat,"fat albert, cat",**fat albert sounds**
200,CAUGHTMEWET.mp3,unknown man,wet,ya caught me wet
201,CAULKS.wav,cat,"cat, caulks, white, whites",you dont want to hang out with caulks!
202,CBSSPORTSGAYERTHANYOU.mp3,charlie,"cbs 920, gay, gayer","cbs sports 920, we are gayer than you"
203,CELEBRITY.wav,willy,"celebrity, willy",I am like a celebrity in that neighborhood
204,CELLULITE.wav,tim,"cellulite, fat",cellulite on cellulite brother
205,CENTRALDIV=BANGED.mp3,tim,"central division, banged",so if youre in the central division you just get banged
206,CHAMBERS.wav,tretter,"chambers, tretter",chambers you my boy!
207,CHAMP.mp3,timberfake,"champ, timberfake, strap, boxing",im the champ
208,CHAMPION.wav,willy,"champion, willy",im a champion brother
209,CHAPPSGODIE.mp3,charlie,"charlie, chapps, die",chapps go die
210,CHARITY.wav,cat,"wallet, shut up, cat",open your wallet and close your yap
211,CHARLIEASDOUG.mp3,charlie,"news, sportscast, sports final, kmov, ktvi, fox","good evening, sports fans, doug vaughn here with your sportscast.  Our top story tonight, Jon Jay will be back tomorrow, heres him getting a hit in 2012"
212,CHARLIEIDOKI.mp3,charlie,"koko idoki, charlie, golf",okie dokie kokie idoky!
213,CHARLIELAUGH2.mp3,charlie,"laugh, charlie, sfw",ha ha
214,CHARLIELAUGH.wav,charlie,"laugh, charlie",ha ha ha
215,CHARLIENOTACARDINALSFAN.mp3,charlie,"cardinals fan, charlie, sfw",im not neccesarily a big st. louis cardinals fan
216,CHARLIE'SSPANISH.mp3,charlie,"spanish, bano, charlie",puedo ir al bano?
217,CHARLIESUNDERWEAR.mp3,cat,"charlie, underwear",and youd like charlies underwear?
218,CHASINGTAIL.mp3,charlie,"chasing tail, charlie",been chasing tail
219,CHECKPLEASE.mp3,cat,"check please, cat",check please!
220,CHERRYBOMBS.mp3,akoostic sessions ,"cherry, bombs, moms, akoostic sessions","cherry bombs, smoke bombs with ya moms"
221,CHESTSLAP.mp3,patrick imig,"chest slap, imig",give a chest slap to willy
222,CHICAGO.wav,joe strauss,"strauss, chicago",hey were better than chicago!
223,CHICKY-CHICKYPARMPARM.mp3,doug,"chickey parm, chicken, parmesan",chicky chicky parm parm
224,CHIEFJUSTICE.wav,tim,chief justice,cmon chief justice!
225,CHILLOUT.mp3,unknown man,chill out,yea Im here man chill out
226,CHINSTRAPBUCKLED-HOUSTONNUTT.mp3,houston nutt,"chin straps, houston nutt","if you dont have two chin straps buckled, you gonna get beat!"
227,CHOCOLATEBUNNIES.mp3,frank,"chocolate bunnies, frank",frank do you like chocolate bunnies?
228,CHOCOLATELONGJOHNS.wav,unknown woman,"woman, chocolate long johns, donuts",chocolate long johns are my favorite
229,"CHOCOLATE,THICK.wav",willy,"chocolate, thick","chocolate, thick"
230,CHOKELIKEAWHORE.mp3,unknown man,"choke, whore, gag",I choke like a whore without a gag reflex
231,CITYLOVESWILLIE.wav,willy,willy,the city loves willy
232,CLASSICGOTOBAT.mp3,unknown man,"classic go to bat, fsn","classic, go to bat!"
233,CLEANTHOSEFIXINS.wav,kenny powers,"fixins, kenny powers, eastbound and down",you clean up those fixins right now!
234,CLINEZOMBIE.wav,david cline,"david cline hedonism, zombies",david cline singing zombies
235,CLIPTHATOFF.mp3,plowboy,"clip that off, plowboy, sfw",clip that off
236,CLOSEENOUGHJACKASS.mp3,charlie,"close enough jackass, charlie","thats close enough, jackass"
237,COACHINGINSTLOUIS.mp3,prodjoe,"producer joe, prodjoe, coaching, rams, sfw",boy theres a high bar set here for coaching in st. louis apparantly
238,COMEDOWNUPON.mp3,prodjoe,"cum, come down upon, prodjoe, producer joe",doug deserves to be come down upon as well
239,COMEHEREBIGFELLA-FRANK.mp3,frank,"big fella, frank",come her big fella
240,COMEONINWATERISWARM.mp3,tim,"water, warm, come in",come on in the water is warm
241,COMEONOUT.wav,tim,"come on out, inside","it didnt remain inside of me, oh, come on out"
